location,disease,burden,tax %,pc_loss
East Asia & Pacific,Diabetes mellitus,46810 (25.9%),2.86,19020
Europe & Central Asia,Diabetes mellitus,39676 (21.9%),4.15,42636
Latin America & Caribbean,Diabetes mellitus,9373 (5.2%),3.41,13053
Middle East & North Africa,Diabetes mellitus,9097 (5.0%),3.59,16192
North America,Diabetes mellitus,37580 (20.8%),5.58,94096
South Asia,Diabetes mellitus,35756 (19.8%),5.77,16941
Sub-Saharan Africa,Diabetes mellitus,2693 (1.5%),1.6,1640
High income,Diabetes mellitus,83973 (46.4%),4.71,67781
Low income,Diabetes mellitus,1059 (0.6%),1.65,1100
Lower middle income,Diabetes mellitus,48594 (26.8%),4.36,12340
Upper middle income,Diabetes mellitus,46976 (26.0%),2.92,17727
global,Diabetes mellitus,181011 (100.0%),3.95,20499
