location,disease,burden,tax %,pc_loss
East Asia & Pacific,Diabetes mellitus,22538 (25.8%),1.38,9158
Europe & Central Asia,Diabetes mellitus,20396 (23.4%),2.13,21918
Latin America & Caribbean,Diabetes mellitus,4640 (5.3%),1.69,6462
Middle East & North Africa,Diabetes mellitus,4174 (4.8%),1.65,7430
North America,Diabetes mellitus,20454 (23.4%),3.04,51216
South Asia,Diabetes mellitus,13931 (16.0%),2.25,6600
Sub-Saharan Africa,Diabetes mellitus,1129 (1.3%),0.67,688
High income,Diabetes mellitus,44585 (51.1%),2.5,35988
Low income,Diabetes mellitus,438 (0.5%),0.68,455
Lower middle income,Diabetes mellitus,19989 (22.9%),1.79,5076
Upper middle income,Diabetes mellitus,22062 (25.3%),1.37,8325
global,Diabetes mellitus,87275 (100.0%),1.9,9884
