Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,American Samoa*,91(67-124),0.451(0.333-0.616),"1,668(1,233-2,276)"
East Asia & Pacific,Australia,"58,943(46,914-74,593)",0.169(0.134-0.214),"2,011(1,600-2,544)"
East Asia & Pacific,Brunei Darussalam,"1,971(1,291-2,886)",0.301(0.197-0.441),"4,142(2,713-6,065)"
East Asia & Pacific,Cambodia,"6,644(4,401-9,804)",0.199(0.132-0.293),340(225-501)
East Asia & Pacific,China,"1,301,555(1,021,875-1,663,019)",0.156(0.123-0.200),"900(706-1,149)"
East Asia & Pacific,Fiji,"1,699(1,038-2,697)",0.614(0.375-0.974),"1,711(1,045-2,717)"
East Asia & Pacific,Guam*,422(302-585),0.238(0.170-0.330),"2,291(1,639-3,177)"
East Asia & Pacific,Indonesia,"368,837(248,951-526,881)",0.300(0.202-0.428),"1,201(811-1,716)"
East Asia & Pacific,Japan,"207,237(163,366-261,047)",0.185(0.146-0.233),"1,774(1,398-2,235)"
East Asia & Pacific,Kiribati*,39(27-54),0.524(0.368-0.726),262(184-363)
East Asia & Pacific,"Korea, Dem. People's Rep.*","1,840(1,309-2,567)",0.150(0.107-0.210),69(49-97)
East Asia & Pacific,"Korea, Rep.","148,095(116,936-191,100)",0.235(0.186-0.304),"2,957(2,335-3,816)"
East Asia & Pacific,Lao PDR,"4,056(2,397-6,382)",0.174(0.103-0.274),475(281-747)
East Asia & Pacific,Malaysia,"49,090(33,064-71,705)",0.159(0.107-0.232),"1,321(890-1,930)"
East Asia & Pacific,Marshall Islands*,28(19-39),0.436(0.301-0.616),409(283-577)
East Asia & Pacific,"Micronesia, Fed. Sts.*",52(30-81),0.569(0.335-0.887),399(235-622)
East Asia & Pacific,Mongolia,"922(618-1,361)",0.067(0.045-0.099),237(159-350)
East Asia & Pacific,Myanmar*,"20,308(16,499-26,003)",0.231(0.188-0.296),342(278-438)
East Asia & Pacific,Nauru*,12(8-19),0.339(0.230-0.517),"1,141(772-1,739)"
East Asia & Pacific,New Zealand,"11,243(8,630-14,377)",0.173(0.132-0.221),"2,130(1,635-2,724)"
East Asia & Pacific,Northern Mariana Islands*,133(97-181),0.351(0.256-0.477),"2,171(1,584-2,953)"
East Asia & Pacific,Palau*,41(29-56),0.667(0.472-0.916),"2,249(1,594-3,092)"
East Asia & Pacific,Papua New Guinea*,"3,389(2,441-4,744)",0.296(0.213-0.414),292(211-409)
East Asia & Pacific,Philippines,"78,583(54,006-106,929)",0.202(0.139-0.274),610(419-829)
East Asia & Pacific,Samoa*,102(73-142),0.304(0.218-0.421),441(316-611)
East Asia & Pacific,Singapore,"26,360(21,213-34,163)",0.166(0.133-0.215),"4,191(3,373-5,431)"
