location,disease,burden,tax %,pc_loss
East Asia & Pacific,Diabetes mellitus,83840 (25.3%),5.13,34065
Europe & Central Asia,Diabetes mellitus,79776 (24.1%),8.34,85727
Latin America & Caribbean,Diabetes mellitus,16774 (5.1%),6.1,23360
Middle East & North Africa,Diabetes mellitus,15659 (4.7%),6.19,27873
North America,Diabetes mellitus,72319 (21.8%),10.74,181078
South Asia,Diabetes mellitus,58645 (17.7%),9.47,27785
Sub-Saharan Africa,Diabetes mellitus,4200 (1.3%),2.5,2558
High income,Diabetes mellitus,165499 (50.0%),9.29,133586
Low income,Diabetes mellitus,1650 (0.5%),2.57,1714
Lower middle income,Diabetes mellitus,81053 (24.5%),7.27,20583
Upper middle income,Diabetes mellitus,82286 (24.8%),5.11,31052
global,Diabetes mellitus,331258 (100.0%),7.23,37514
